,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SYN1,2.02965475,-0.789752034,0.300282512,-2.630030067,0.008537732,0.99722229
CDKN2C,46.16442493,-0.789625633,0.307784937,-2.565510974,0.010302396,0.99722229
NXN,11.45932919,-0.788715279,0.308117144,-2.559790309,NA,NA
GPR84,48.84170891,-0.788463725,0.306244298,-2.574623364,NA,NA
ANO10,172.6072458,-0.786356362,0.310887138,-2.529394969,0.011425937,0.99722229
ARL4A,81.57538918,-0.786343856,0.322718715,-2.436623038,0.014825125,0.99722229
BPI,232.2485174,-0.785699189,0.305859715,-2.56882208,NA,NA
PINK1,288.8263887,-0.783647434,0.31153711,-2.515422431,0.011888984,0.99722229
PCBP3,12.33082973,-0.781466317,0.321377265,-2.431616677,0.015031606,0.99722229
FERMT2,4.717762461,-0.781267753,0.285037825,-2.740926592,NA,NA
LILRP1,5.42997306,-0.781256697,0.322231911,-2.424516849,0.015328772,0.99722229
RAC1P2,9.600890586,-0.778472185,0.315443559,-2.46786521,0.013592149,0.99722229
SEC14L3,5.304741423,-0.774822998,0.320981956,-2.4139145,0.015782165,0.99722229
